Model,Accuracy,MAE,MAPE (%)
MLP Title,0.989694,263.0883,1.030636
MLP Description,0.990587,240.4934,0.941333
LSTM Title,0.988392,295.9484,1.160826
LSTM Description,0.989419,270.0266,1.058087
