title,url,publishedAt
3 underrated (HBO) Max movies you should watch this weekend (August 2-4),https://www.digitaltrends.com/movies/underrated-hbo-max-movies-this-weekend-august-02-04-2024/,2024-08-02T21:30:50Z
Ex-Prez Big Brain Suggests 'A Crypto Check' For Deficit,https://crooksandliars.com/2024/08/ex-president-big-brain-paying-deficit-hand,2024-08-02T20:36:21Z
"Wreckfest 2, Gothic 1 Remake gameplay, creepy Tarsier tease, and everything else from THQ Nordic's showcase",https://www.eurogamer.net/wreckfest-2-gothic-1-remake-gameplay-and-everything-else-from-thq-nordics-showcase,2024-08-02T19:35:39Z
Global stock sell-off on slowdown concern pushes Indian rupee to record low,https://www.business-standard.com/economy/news/global-stock-sell-off-on-slowdown-concern-pushes-indian-rupee-to-record-low-124080200855_1.html,2024-08-02T17:39:09Z
"Citigroup Global, Societe Generale, 4 others buy stake in Netweb Tech for Rs 458 cr",https://economictimes.indiatimes.com/markets/stocks/news/citigroup-global-societe-generale-4-others-buy-stake-in-netweb-tech-for-rs-458-cr/articleshow/112229977.cms,2024-08-02T15:32:45Z
ChatGPT’s Advanced Voice Mode is scarily good at times – are we looking at the future of AI interactions?,https://www.techradar.com/computing/artificial-intelligence/chatgpts-advanced-voice-mode-is-scarily-good-at-times-are-we-looking-at-the-future-of-ai-interactions,2024-08-02T15:28:15Z
Weak global cues drag markets lower,https://www.thehindubusinessline.com/markets/weak-global-cues-drag-markets-lower/article68478207.ece,2024-08-02T15:08:47Z
Weak global cues drag markets lower,https://www.thehindubusinessline.com/markets/stock-market-today-weak-global-cues-drag-markets-lower/article68478207.ece,2024-08-02T15:08:47Z
Jazz Chisholm Is Already Paying Huge Dividends For The Yankees,https://www.forbes.com/sites/danepstein/2024/08/02/jazz-chisholm-is-already-paying-huge-dividends-for-the-yankees/,2024-08-02T14:54:51Z
Eris Lifesciences Q1 Results: Net dips 4.5% YoY at Rs 89 crore,https://economictimes.indiatimes.com/markets/stocks/earnings/eris-lifesciences-q1-results-net-dips-4-5-yoy-at-rs-89-crore/articleshow/112229300.cms,2024-08-02T14:47:23Z
CAMS Q1 Results: PAT soars 42% YoY to Rs 108 crore,https://economictimes.indiatimes.com/markets/stocks/earnings/cams-q1-results-pat-soars-42-yoy-to-rs-108-crore/articleshow/112229251.cms,2024-08-02T14:42:49Z
Windows 11 hits 30% adoption (and it’s about time) – so is Microsoft’s AI gamble finally starting to pay off?,https://www.techradar.com/computing/windows/windows-11-hits-30-adoption-and-its-about-time-so-is-microsofts-ai-gamble-finally-starting-to-pay-off,2024-08-02T14:40:27Z
Global markets selloff ends India's five-day and eight-week winning run,https://www.business-standard.com/markets/stock-market-news/global-markets-selloff-ends-india-s-five-day-and-eight-week-winning-run-124080201425_1.html,2024-08-02T14:30:40Z
Sebi to release paper on easing norms for investment advisor registration next week,https://economictimes.indiatimes.com/markets/stocks/news/sebi-to-release-paper-on-easing-norms-for-investment-advisor-registration-next-week/articleshow/112228306.cms,2024-08-02T13:43:48Z
Iconic Olympic shooter who won silver medal with 'no equipment' explains why he didn't use any in first interview,https://www.ladbible.com/news/sport/olympic-shooter-silver-no-equipment-yusuf-dike-370140-20240802,2024-08-02T13:25:29Z
Bee is working on an AI wearable that constantly listens to you,https://www.androidheadlines.com/2024/08/bee-ai-wearable.html,2024-08-02T13:10:52Z
ICICI Prudential Mutual Fund launches Nifty Metal ETF: Check details,https://www.business-standard.com/finance/personal-finance/icici-prudential-mutual-fund-launches-nifty-metal-etf-check-details-124080201013_1.html,2024-08-02T13:07:31Z
