title,url,publishedAt,description
Florida football's two-QB system works to near perfection in win over MSU,https://www.gainesville.com/story/sports/college/football/2024/09/21/florida-football-qbs-graham-mertz-dj-lagway-share-wealth-in-win-over-msu/75206422007/,2024-09-21T22:33:50Z,"Strong performances from both Florida football QBs, Graham Mertz and DJ Lagway, lifted the Gators to a 45-28 win over Mississippi State"
Pearl & The Oysters – Planet Pearl (2024),https://exystence.net/blog/2024/09/22/pearl-the-oysters-planet-pearl-2024/,2024-09-21T22:22:15Z,"Beginning in 2018 with their debut album Canned Music, Pearl & the Oysters have had a run of bright and sunny records that have existed gleefully in the middle of a Venn diagram where indie pop, hip hop, jazz, funk, soft rock, and easy listening converge. Thr…"
[Removed],https://removed.com,2024-09-21T20:51:01Z,[Removed]
Rancocas Valley's Yarngo displays plenty of moves on Senior Day,https://www.courierpostonline.com/story/sports/high-school/football/2024/09/21/rancocas-valley-football-wins-third-straight-with-victory-over-shawnee/75277920007/,2024-09-21T20:28:33Z,"After jumping a route and returning an interception for a key touchdown, Rancocas Valley's Eddie Yarngo jumped at a chance to do something else."
Recap and highlights: Washington State comes from behind for epic 2OT win over San Jose State 54-52,http://www.spokesman.com/stories/2024/sep/20/live-updates-washington-state-hosts-san-jose-state/,2024-09-21T15:03:00Z,"Sep. 21—PULLMAN — Washington State may need some time to recover from this one. In a two-overtime game that spanned more than four hours, WSU topped San Jose State in a 54-52 thriller Friday evening by securing a stop on the last play of the game, a two-point…"
From Samsung to HTC: The worst Android phones ever made,https://www.androidauthority.com/worst-android-phones-ever-made-3477626/,2024-09-21T15:00:43Z,"Between Nokia, Samsung, and HTC, we've certainly got no shortage of candidates for our list of the worst Android phones ever made."
Five Questions About Katy Perry’s Soulless New Album 143: Review,https://consequence.net/2024/09/katy-perry-143-new-album-review/,2024-09-21T14:00:12Z,"143 is so lacking in fresh ideas and human touches that it accidentally slips into the AI Uncanny Vally; even if no AI was involved, it gives you the same queasy feeling.
Five Questions About Katy Perry’s Soulless New Album 143: Review
Wren Graves"
Motorola Razr And Razr Plus Review: Chic foldables For The Masses,https://www.forbes.com/sites/forbes-personal-shopper/article/motorola-razr-2024-razr-plus-2024-review/,2024-09-21T13:59:00Z,"Motorola’s Razr and Razr Plus 2024 deliver a strong, more affordable foldable alternative, with useful, nifty features. Read the review to learn more about them."
Choosing the best NPS tier-2 fund house,https://www.thehindubusinessline.com/portfolio/big-story/choosing-the-best-nps-tier-2-fund-house/article68662814.ece,2024-09-21T13:08:55Z,"The National Pension System (NPS) offers two tiers: tier-1 for retirement savings with tax benefits, and tier-2, a flexible, voluntary option without tax advantages. Despite no tax breaks, tier-2 funds have delivered strong returns, outperforming benchmarks i…"
"SBI, LIC, HDFC, ICICI Pru, Kotak and UTI: Choosing the best NPS tier-2 fund house",https://www.thehindubusinessline.com/portfolio/big-story/sbi-lic-hdfc-icici-pru-kotak-and-uti-choosing-the-best-nps-tier-2-fund-house/article68662814.ece,2024-09-21T13:08:55Z,"The National Pension System (NPS) offers two tiers: tier-1 for retirement savings with tax benefits, and tier-2, a flexible, voluntary option without tax advantages. Despite no tax breaks, tier-2 funds have delivered strong returns, outperforming benchmarks i…"
