title,url,publishedAt,description
Shohei Ohtani blasts into MLB 50/50 club as founding member with Dodgers,https://www.sbnation.com/mlb/2024/9/19/24249461/shohei-ohtani-mlb-50-50-video-watch-history-dodgers,2024-09-19T23:04:58Z,Dodgers superstar Shohei Ohtani made MLB history with 50 homers and 50 steals in the same season.
"A list of 20 fast-growing small-cap stocks, and what makes them multibaggers",https://economictimes.indiatimes.com/prime/money-and-markets/a-list-of-20-fast-growing-small-cap-stocks-and-what-makes-them-multibaggers/primearticleshow/113500232.cms,2024-09-19T22:30:00Z,"ET Prime looked at stocks in the Nifty Smallcap 250 index whose revenues had grown at a fast clip in the last four years. Most companies are either in the infrastructure, engineering, and chemicals sectors or in the business of pipes. There is none from consu…"
"Dragon Age: The Veilguard will see the return of Inquisition's protagonist, and you'll be able to customize their appearance and voice",https://www.pcgamer.com/games/dragon-age/dragon-age-the-veilguard-will-see-the-return-of-inquisition-s-protagonist-and-you-ll-be-able-to-customize-their-appearance-and-voice/,2024-09-19T22:28:08Z,"Not the first time we've gotten to do this, but it's exciting to see it again."
The New Dragon Ball Game’s Massive Roster Size Is a Very Specific Easter Egg,https://gizmodo.com/the-new-dragon-ball-games-massive-roster-size-is-a-very-specific-easter-egg-2000501101,2024-09-19T22:22:51Z,Bandai Namco understood the assignment with its cavalcade of references in Dragon Ball: Sparking! Zero.
Skullgirls creator is the lead character designer on this unsurprisingly horny Pokemon-inspired RPG where you catch and date over 120 monster girls and guys,https://www.gamesradar.com/games/rpg/skullgirls-creator-is-the-lead-character-designer-on-this-unsurprisingly-horny-pokemon-inspired-rpg-where-you-catch-and-date-over-120-monster-girls-and-guys/,2024-09-19T20:18:17Z,Miss Monster: Bound By Fate is a creature collector that lets you cozy up to your mons
How to make a good-looking custom Home Screen in iOS 18,https://www.cultofmac.com/how-to/customize-ios-18-home-screen-layout-icons-widgets,2024-09-19T17:20:30Z,"You can customize iOS 18 Home Screen layout, icons and widgets like never before. Here's how to do it, and plenty of examples for inspriation.
(via Cult of Mac - Apple news, rumors, reviews and how-tos)"
TECNO PHANTOM V Fold2 review: applaudable and affordable,https://www.pockettactics.com/tecno-phantom-v-fold2-review,2024-09-19T16:47:00Z,"Since the recent emergence of foldable phones, few brands have put affordability before all else to appeal to consumers. That was until TECNO entered the fray with the original Phantom V Fold, a budget-busting smartphone. It had its flaws, admittedly, but it …"
Bizarre New AI App Simulates If You Were Famous With Millions of Fawning Fans,https://futurism.com/the-byte/ai-simulates-going-viral,2024-09-19T16:44:08Z,"15 Minutes Are you a lonely AI bro in need of a few friends (or reply guys)? Do you want to get a taste of what it feels like for your opinions to actually matter to people? Well, quit spilling your guts to ChatGPT, and maybe try this nifty little app called …"
"Radhakishan Damani sells 100,000 shares in VST Industries for Rs 4.4 crore via block deal",https://economictimes.indiatimes.com/markets/stocks/news/radhakishan-damani-sells-100000-shares-in-vst-industries-for-rs-4-4-crore-via-block-deal/articleshow/113499866.cms,2024-09-19T16:42:30Z,"Ace investor Radhakishan Damani has sold 1 lakh shares in VST Industries for Rs 4.4 crore via a block deal. The shares were sold at Rs 439.05 each, slightly above the previous closing price. Following this sale, Damani's stake in VST Industries has reduced to…"
"Reliance Infra approves Rs 3,000 crore capital raising via preferential issue",https://economictimes.indiatimes.com/markets/stocks/news/reliance-infra-approves-rs-3000-crore-capital-raising-via-preferential-issue/articleshow/113499428.cms,2024-09-19T16:13:24Z,"The company said the proceeds from the preferential issue will be used for expanding business operations, including investments in subsidiaries and joint ventures, and to meet long-term working capital requirements as well as general corporate purposes"
