Unnamed: 0,title,url,publishedAt,FinBERT score
182,ACC shares decline 0.98% as Sensex climbs,https://economictimes.indiatimes.com/markets/stocks/stock-watch/acc-shares-decline-0-98-as-sensex-climbs/articleshow/112731060.cms,2024-08-23T06:32:32Z,-0.856746256351471
183,Au Small Fin Bank shares fall 0.65% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/au-small-fin-bank-shares-fall-0-65-as-nifty-gains/articleshow/112730876.cms,2024-08-23T06:27:26Z,-0.7951855659484863
185,Share price of Shriram Finance falls as Nifty strengthens,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-price-of-shriram-finance-falls-as-nifty-strengthens/articleshow/112730524.cms,2024-08-23T06:17:14Z,-0.5029947757720947
187,Tube Investments shares down 0.84% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/tube-investments-shares-down-0-84-as-nifty-gains/articleshow/112730341.cms,2024-08-23T06:12:05Z,-0.9192708730697632
190,Stock market update: Fertilisers stocks down as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-down-as-market-rises/articleshow/112729630.cms,2024-08-23T05:50:34Z,-0.6872869729995728
193,Havells India shares down 0.04% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/havells-india-shares-down-0-04-as-nifty-gains/articleshow/112729283.cms,2024-08-23T05:36:23Z,-0.942223072052002
194,Max Healthcare shares fall 0.39 per cent in Friday's trading session,https://economictimes.indiatimes.com/markets/stocks/stock-watch/max-healthcare-shares-fall-0-39-per-cent-in-fridays-trading-session/articleshow/112729171.cms,2024-08-23T05:31:17Z,-0.8399031162261963
282,Stock market update: Fertilisers stocks down as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-down-as-market-rises/articleshow/112809513.cms,2024-08-26T11:51:28Z,-0.6971577405929565
286,Sensex rises! But these stocks fell 5% or more in Monday's session,https://economictimes.indiatimes.com/markets/stocks/stock-watch/sensex-rises-but-these-stocks-fell-5-or-more-in-mondays-session/articleshow/112808957.cms,2024-08-26T11:36:12Z,-0.869817852973938
287,Stock market update: Stocks that hit 52-week lows on NSE in today's trade,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse-in-todays-trade/articleshow/112807894.cms,2024-08-26T11:20:57Z,-0.5329634547233582
